data_date,security_id,d2
20100507,4125901,244.935
20100507,4139501,-1331.56
20100507,4159901,-305.045
20100507,4207901,36
20100507,4221001,108.163
20100507,4227001,1905.3
20100507,4227201,1905.3
20100507,4246901,58.061
20100507,4247701,-1.0248
20100507,4266601,7.535
20100507,4268401,27.803
20100507,4314501,1.224
20100507,4363701,-5.834
20100507,4363901,21.023
20100507,4365901,276.457
20100507,4393601,47.1
20100507,4395501,31.963
20100507,4396501,36.964
20100507,4411601,-53
20100507,4449801,11915
20100507,4454201,12.8203
20100507,4461901,86.633
20100507,4469601,30.665
20100507,4517001,-10.289
20100507,4520401,67.883
20100507,4528301,40.653
20100507,4555801,46.117
20100507,4642701,-36.97
20100507,4647201,-4.642
20100507,4652101,118.671
20100507,4679201,12.079
20100507,4680001,-69.05
20100507,4685401,20.9
20100507,4688001,-0.886
20100507,4736501,5.3552
20100507,4745101,-50.097
20100507,4847301,-4.179
20100507,4851401,46.75
20100507,4854401,39.988
20100507,4902701,129.358
20100507,4902801,-13.8764
20100507,4915201,NA
20100507,4919801,NA
20100507,4939101,39.45
20100507,4939701,190.002
20100507,4964101,151.7
20100507,4969101,63.14
20100507,4990001,167.828
20100507,5018501,-0.091
20100507,5022801,-9.16
20100507,5033801,20.903
20100507,5069801,18.422
20100507,5118301,25.098
20100507,5132601,-13.734
20100507,5186501,-26.7
20100507,5188101,154.381
20100507,5203601,NA
20100507,5251201,700.79
20100507,5255401,5.428
20100507,5263701,13.268
20100507,5271701,2.4647
20100507,5277201,2.387
20100507,5304001,5.564
20100507,5324801,14.2321
20100507,5337901,-27.563
20100507,5340301,-8.332
20100507,5361401,1078
20100507,5494701,115.561
20100507,5511601,21.25
20100507,5512201,-74.763
20100507,5513201,155.275
20100507,5513801,5.386
20100507,5593701,333.196
20100507,5598001,-39.664
20100507,5623701,-1899.78
20100507,5631101,1.27
20100507,5652001,12.212
20100507,5681201,719.4
20100507,5715401,-10.365
20100507,5803201,1010.76
20100507,5835801,33.13
20100507,5861001,-6.008
20100507,5871601,33.337
20100507,5874501,6.8213
20100507,5887901,24.843
20100507,5896501,204.5
20100507,5912501,235.914
20100507,5916001,16.626
20100507,5919901,-90.027
20100507,5970101,-3.2223
20100507,5971001,79.723
20100507,6047501,40.81
20100507,6077501,-181.957
20100507,6092001,26.409
20100507,6151101,2.9003
20100507,6151301,83.901
20100507,6173501,-19.069
20100507,6185801,35.252
20100507,6816001,37.788
20100507,6817601,49.463
20100507,6818001,NA
20100507,6822001,-21.8977
20100507,6837201,-300
20100507,6853501,11.919
20100507,6855101,133.709
20100507,6861601,158.1
20100507,6928601,-55.258
20100507,6982501,NA
20100507,6986401,75.469
20100507,7002901,-103.698
20100507,7043501,20.744
20100507,7045801,153.116
20100507,7052901,42.445
20100507,7222001,15.785
20100507,7223401,4.339
20100507,7260301,180.867
20100507,7261701,-18.6871
20100507,7324601,13.609
20100507,7349101,-16.591
20100507,7352401,-7.89
20100507,7376101,32.775
20100507,7383501,-17.864
20100507,7384401,6.232
20100507,7389401,65.2
20100507,7426001,50.932
20100507,7454301,-33.456
20100507,7474801,33.024
20100507,7480301,1645
20100507,7481201,2963
20100507,7481301,2963
20100507,7519601,46.502
